"","TICKER","gvkey","permno","adate","qdate","public_date","CAPEI","bm","evm","pe_op_basic","pe_op_dil","pe_exi","pe_inc","ps","pcf","dpr","npm","opmbd","opmad","gpm","ptpm","cfm","roa","roe","roce","efftax","aftret_eq","aftret_invcapx","aftret_equity","pretret_noa","pretret_earnat","GProf","equity_invcap","debt_invcap","totdebt_invcap","capital_ratio","int_debt","int_totdebt","cash_lt","invt_act","rect_act","debt_at","debt_ebitda","short_debt","curr_debt","lt_debt","profit_lct","ocf_lct","cash_debt","fcf_ocf","lt_ppent","dltt_be","debt_assets","debt_capital","de_ratio","intcov","intcov_ratio","cash_ratio","quick_ratio","curr_ratio","cash_conversion","inv_turn","at_turn","rect_turn","pay_turn","sale_invcap","sale_equity","sale_nwc","rd_sale","adv_sale","staff_sale","accrual","ptb","PEG_trailing","divyield","cusip","gvkey_count","ticker_count","same_count"
"2912","EGBN","111721",87318,2009-12-31,2009-12-31,2010-03-31,28.293,0.81,12.198,21.545,21.545,21.545,21.545,2.539,29.299,0,0.114,0.337,0.315,0.646,0.179,0.136,0.019,0.077,0.09,0.364,0.06,0,0.063,NA,NA,0.033,0.697,0.207,0.632,0.207,NA,NA,0.073,NA,NA,0.083,4.853,0.672,NA,0.03,NA,NA,0.005,0.79,174.774,0.298,0.896,0.895,8.587,NA,NA,NA,NA,NA,NA,6.317,0.055,0.07,0.027,0.386,0.487,NA,0,0.012,0.228,0.002,1.404,NA,NA,"26894810",156,156,TRUE
"2913","EGBN","111721",87318,2009-12-31,2009-12-31,2010-04-30,30.083,0.81,12.198,22.909,22.909,22.909,22.909,2.7,31.153,0,0.114,0.337,0.315,0.646,0.179,0.136,0.019,0.077,0.09,0.364,0.06,0,0.063,NA,NA,0.033,0.697,0.207,0.632,0.207,NA,NA,0.073,NA,NA,0.083,4.853,0.672,NA,0.03,NA,NA,0.005,0.79,174.774,0.298,0.896,0.895,8.587,NA,NA,NA,NA,NA,NA,6.317,0.055,0.07,0.027,0.386,0.487,NA,0,0.012,0.228,0.002,1.493,NA,NA,"26894810",156,156,TRUE
"2914","EGBN","111721",87318,2009-12-31,2010-06-30,2010-09-30,26.77,0.753,11.196,17.394,17.994,17.994,17.994,2.352,-19.943,0.316,0.13,0.363,0.339,0.681,0.207,0.154,0.02,0.082,0.106,0.364,0.071,0,0.069,NA,NA,0.036,0.705,0.185,0.629,0.185,NA,NA,0.07,NA,NA,0.083,4.31,0.705,NA,0.027,NA,NA,0.005,0.79,180.502,0.263,0.893,0.892,8.317,NA,NA,NA,NA,NA,NA,2.701,0.053,0.069,0.031,0.402,0.493,NA,0,0.012,0.228,0.013,1.296,NA,NA,"26894810",156,156,TRUE
"2915","EGBN","111721",87318,2009-12-31,2010-06-30,2010-10-31,28.831,0.753,11.196,18.727,19.373,19.373,19.373,2.533,-21.478,0.316,0.13,0.363,0.339,0.681,0.207,0.154,0.02,0.082,0.106,0.364,0.071,0,0.069,NA,NA,0.036,0.705,0.185,0.629,0.185,NA,NA,0.07,NA,NA,0.083,4.31,0.705,NA,0.027,NA,NA,0.005,0.79,180.502,0.263,0.893,0.892,8.317,NA,NA,NA,NA,NA,NA,2.701,0.053,0.069,0.031,0.402,0.493,NA,0,0.012,0.228,0.013,1.396,NA,NA,"26894810",156,156,TRUE
"2916","EGBN","111721",87318,2009-12-31,2010-09-30,2010-11-30,28.338,0.796,10.32,17.452,17.72,17.72,17.72,2.496,-5.495,0.225,0.146,0.387,0.362,0.709,0.227,0.171,0.021,0.086,0.113,0.364,0.077,0,0.075,NA,NA,0.037,0.706,0.202,0.625,0.202,NA,NA,0.065,NA,NA,0.081,3.952,0.677,NA,0.029,NA,NA,0.005,0.79,192.644,0.286,0.897,0.897,8.723,NA,NA,NA,NA,NA,NA,1.009,0.053,0.069,0.064,0.409,0.512,NA,0,0.012,0.228,0.032,1.387,NA,NA,"26894810",156,156,TRUE
"2917","EGBN","111721",87318,2009-12-31,2010-09-30,2010-12-31,32.311,0.796,10.32,19.876,20.182,20.182,20.182,2.846,-6.265,0.225,0.146,0.387,0.362,0.709,0.227,0.171,0.021,0.086,0.113,0.364,0.077,0,0.075,NA,NA,0.037,0.706,0.202,0.625,0.202,NA,NA,0.065,NA,NA,0.081,3.952,0.677,NA,0.029,NA,NA,0.005,0.79,192.644,0.286,0.897,0.897,8.723,NA,NA,NA,NA,NA,NA,1.009,0.053,0.069,0.064,0.409,0.512,NA,0,0.012,0.228,0.032,1.581,NA,NA,"26894810",156,156,TRUE
"2918","EGBN","111721",87318,2009-12-31,2010-09-30,2011-01-31,30.251,0.796,10.32,18.609,18.895,18.895,18.895,2.665,-5.865,0.225,0.146,0.387,0.362,0.709,0.227,0.171,0.021,0.086,0.113,0.364,0.077,0,0.075,NA,NA,0.037,0.706,0.202,0.625,0.202,NA,NA,0.065,NA,NA,0.081,3.952,0.677,NA,0.029,NA,NA,0.005,0.79,192.644,0.286,0.897,0.897,8.723,NA,NA,NA,NA,NA,NA,1.009,0.053,0.069,0.064,0.409,0.512,NA,0,0.012,0.228,0.032,1.481,NA,NA,"26894810",156,156,TRUE
"2919","EGBN","111721",87318,2008-12-31,2009-09-30,2010-01-31,29.16,0.878,11.536,18.263,18.595,18.595,18.595,2.439,-25.286,0.455,0.101,0.317,0.293,0.629,0.156,0.126,0.019,0.086,0.088,0.357,0.068,0,0.069,NA,NA,0.036,0.594,0.227,0.881,0.227,NA,NA,0.042,NA,NA,0.115,6.309,0.743,NA,0.033,NA,NA,-0.005,NA,149.606,0.381,0.899,0.898,8.888,NA,NA,NA,NA,NA,NA,4.609,0.058,0.071,0.03,0.44,0.569,NA,0,0.015,0.239,0.012,1.34,NA,NA,"26894810",156,156,TRUE
"2920","EGBN","111721",87318,2010-12-31,2010-12-31,2011-03-31,27.708,0.641,10.604,18.013,18.247,18.247,18.247,2.629,-6.075,0,0.157,0.404,0.381,0.725,0.243,0.181,0.022,0.096,0.125,0.353,0.088,0,0.085,NA,NA,0.037,0.717,0.194,0.578,0.194,NA,NA,0.031,NA,NA,0.07,3.433,0.664,NA,0.026,NA,NA,-0.024,NA,201.201,0.271,0.902,0.902,9.206,NA,NA,NA,NA,NA,NA,0.62,0.054,0.07,0.069,0.417,0.517,NA,0,0.01,0.241,0.032,1.528,3.39,NA,"26894810",156,156,TRUE
"2921","EGBN","111721",87318,2010-12-31,2010-12-31,2011-04-30,27.373,0.641,10.604,17.795,18.026,18.026,18.026,2.597,-6.002,0,0.157,0.404,0.381,0.725,0.243,0.181,0.022,0.096,0.125,0.353,0.088,0,0.085,NA,NA,0.037,0.717,0.194,0.578,0.194,NA,NA,0.031,NA,NA,0.07,3.433,0.664,NA,0.026,NA,NA,-0.024,NA,201.201,0.271,0.902,0.902,9.206,NA,NA,NA,NA,NA,NA,0.62,0.054,0.07,0.069,0.417,0.517,NA,0,0.01,0.241,0.032,1.51,3.349,NA,"26894810",156,156,TRUE
"2922","EGBN","111721",87318,2010-12-31,2011-03-31,2011-05-31,25.666,0.674,9.077,13.393,13.712,13.712,13.712,2.253,11.982,0.144,0.165,0.42,0.399,0.739,0.256,0.186,0.024,0.104,0.135,0.353,0.097,0,0.092,NA,NA,0.04,0.716,0.195,0.583,0.195,NA,NA,0.052,NA,NA,0.072,3.149,0.666,NA,0.027,NA,NA,-0.024,0.883,200.525,0.273,0.901,0.901,9.099,NA,NA,NA,NA,NA,NA,0.562,0.054,0.07,0.024,0.441,0.547,NA,0,0.01,0.241,-0.001,1.339,2.244,NA,"26894810",156,156,TRUE
"2923","EGBN","111721",87318,2010-12-31,2011-03-31,2011-06-30,26.993,0.674,9.077,14.059,14.394,14.394,14.394,2.37,12.602,0.144,0.165,0.42,0.399,0.739,0.256,0.186,0.024,0.104,0.135,0.353,0.097,0,0.092,NA,NA,0.04,0.716,0.195,0.583,0.195,NA,NA,0.052,NA,NA,0.072,3.149,0.666,NA,0.027,NA,NA,-0.024,0.883,200.525,0.273,0.901,0.901,9.099,NA,NA,NA,NA,NA,NA,0.562,0.054,0.07,0.024,0.441,0.547,NA,0,0.01,0.241,-0.001,1.408,2.356,NA,"26894810",156,156,TRUE
"2924","EGBN","111721",87318,2009-12-31,2010-03-31,2010-06-30,28.541,0.731,10.922,17.848,18.464,18.464,18.464,2.466,25.072,0.397,0.125,0.36,0.336,0.667,0.199,0.149,0.021,0.086,0.105,0.364,0.071,0,0.069,NA,NA,0.036,0.686,0.18,0.699,0.18,NA,NA,0.063,NA,NA,0.09,4.592,0.742,NA,0.026,NA,NA,0.005,0.833,169.632,0.263,0.895,0.894,8.5,NA,NA,NA,NA,NA,NA,4.052,0.054,0.07,0.022,0.423,0.516,NA,0,0.012,0.228,0.001,1.362,NA,NA,"26894810",156,156,TRUE
"2925","EGBN","111721",87318,2011-12-31,2012-06-30,2012-09-30,26.347,0.721,7.678,10.483,10.78,10.935,10.935,2.476,-9.426,0.047,0.195,0.453,0.433,0.786,0.308,0.215,0.024,0.141,0.17,0.359,0.138,0,0.114,NA,NA,0.04,0.671,0.153,0.51,0.153,NA,NA,0.118,NA,NA,0.056,2.438,0.7,NA,0.018,NA,NA,-0.023,NA,214.846,0.228,0.908,0.907,9.838,NA,NA,NA,NA,NA,NA,0.261,0.05,0.07,0.044,0.462,0.545,NA,0,0.012,0.26,0.024,1.577,0.303,NA,"26894810",156,156,TRUE
