"","TICKER","gvkey","public_date","bm","ptb","GProf","npm","capital_ratio","totdebt_invcap","cash_lt","short_debt","debt_assets","de_ratio","sale_equity","sale_invcap"
"8494","STT","010035",2020-09-30,1,0.933,0.042,0.192,0.357,0.773,0.381,0.538,0.913,10.517,0.524,0.337
"8495","STT","010035",2020-10-31,1,0.928,0.042,0.192,0.357,0.773,0.381,0.538,0.913,10.517,0.524,0.337
"8496","STT","010035",2020-11-30,1.103,1.077,0.04,0.196,0.366,0.804,0.387,0.545,0.915,10.755,0.505,0.32
"8497","STT","010035",2020-12-31,1.103,1.112,0.04,0.196,0.366,0.804,0.387,0.545,0.915,10.755,0.505,0.32
"8498","STT","010035",2021-01-31,1.103,1.07,0.04,0.196,0.366,0.804,0.387,0.545,0.915,10.755,0.505,0.32
"8499","STT","010035",2021-02-28,0.923,1.079,0.037,0.2,0.337,0.562,0.428,0.401,0.917,11.012,0.461,0.306
"8500","STT","010035",2021-03-31,0.923,1.245,0.037,0.2,0.337,0.562,0.428,0.401,0.917,11.012,0.461,0.306
"8501","STT","010035",2021-04-30,0.923,1.23,0.037,0.2,0.337,0.562,0.428,0.401,0.917,11.012,0.461,0.306
"8502","STT","010035",2021-05-31,0.788,1.314,0.039,0.196,0.358,0.605,0.392,0.409,0.914,10.649,0.463,0.297
"8503","STT","010035",2021-06-30,0.788,1.243,0.039,0.196,0.358,0.605,0.392,0.409,0.914,10.649,0.463,0.297
"8504","STT","010035",2021-07-31,0.788,1.3,0.039,0.196,0.358,0.605,0.392,0.409,0.914,10.649,0.463,0.297
"8505","STT","010035",2021-08-31,0.821,1.376,0.038,0.202,0.346,0.505,0.397,0.314,0.917,11.069,0.461,0.301
"8506","STT","010035",2021-09-30,0.821,1.336,0.038,0.202,0.346,0.505,0.397,0.314,0.917,11.069,0.461,0.301
"8507","STT","010035",2021-10-31,0.821,1.554,0.038,0.202,0.346,0.505,0.397,0.314,0.917,11.069,0.461,0.301
"8508","STT","010035",2021-11-30,0.818,1.284,0.037,0.213,0.339,0.421,0.406,0.194,0.919,11.357,0.459,0.304
"8509","STT","010035",2021-12-31,0.818,1.342,0.037,0.213,0.339,0.421,0.406,0.194,0.919,11.357,0.459,0.304
"8510","STT","010035",2022-01-31,0.818,1.365,0.037,0.213,0.339,0.421,0.406,0.194,0.919,11.357,0.459,0.304
"8511","STT","010035",2022-02-28,0.746,1.23,0.038,0.224,0.344,0.385,0.393,0.106,0.913,10.498,0.44,0.289
"8512","STT","010035",2022-03-31,0.746,1.256,0.038,0.224,0.344,0.385,0.393,0.106,0.913,10.498,0.44,0.289
"8513","STT","010035",2022-04-30,0.746,0.968,0.038,0.224,0.344,0.385,0.393,0.106,0.913,10.498,0.44,0.289
"8514","STT","010035",2022-05-31,0.758,1.097,0.038,0.228,0.338,0.391,0.388,0.135,0.918,11.13,0.459,0.304
"8515","STT","010035",2022-06-30,0.758,0.933,0.038,0.228,0.338,0.391,0.388,0.135,0.918,11.13,0.459,0.304
"8516","STT","010035",2022-07-31,0.758,1.076,0.038,0.228,0.338,0.391,0.388,0.135,0.918,11.13,0.459,0.304
"8517","STT","010035",2022-08-31,1.05,1.056,0.038,0.226,0.339,0.39,0.378,0.13,0.915,10.816,0.458,0.303
"8518","STT","010035",2022-09-30,1.05,0.94,0.038,0.226,0.339,0.39,0.378,0.13,0.915,10.816,0.458,0.303
"8519","STT","010035",2022-10-31,1.05,1.141,0.038,0.226,0.339,0.39,0.378,0.13,0.915,10.816,0.458,0.303
"8520","STT","010035",2022-11-30,1.058,1.235,0.039,0.217,0.347,0.418,0.373,0.169,0.915,10.817,0.481,0.314
"8521","STT","010035",2022-12-31,1.058,1.202,0.039,0.217,0.347,0.418,0.373,0.169,0.915,10.817,0.481,0.314
"8522","STT","010035",2017-07-31,0.604,1.926,0.042,0.212,0.347,0.523,0.346,0.337,0.912,10.425,0.496,0.324
